0.000, 0.414, 0.090, 0.496, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 0.227, 0.022, 0.299, 0.098, 0.355, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.052, 0.000, 0.178, 0.034, 0.230, 0.092, 0.274, 0.139, 0.000, 0.000, 0.000, 0.000, 0.000
0.031, 0.020, 0.095, 0.061, 0.134, 0.107, 0.175, 0.154, 0.221, 0.000, 0.000, 0.000, 0.000
0.000, 0.056, 0.036, 0.088, 0.067, 0.124, 0.101, 0.165, 0.148, 0.215, 0.000, 0.000, 0.000
0.000, 0.073, 0.002, 0.098, 0.000, 0.185, 0.002, 0.218, 0.045, 0.266, 0.110, 0.000, 0.000
0.020, 0.000, 0.069, 0.000, 0.124, 0.000, 0.168, 0.021, 0.202, 0.000, 0.397, 0.000, 0.000
0.000, 0.034, 0.021, 0.054, 0.039, 0.077, 0.060, 0.103, 0.092, 0.144, 0.151, 0.226, 0.000
0.000, 0.047, 0.002, 0.065, 0.000, 0.120, 0.001, 0.142, 0.029, 0.177, 0.000, 0.417, 0.000
0.000, 0.036, 0.000, 0.067, 0.000, 0.098, 0.000, 0.138, 0.015, 0.170, 0.063, 0.241, 0.170
0.014, 0.000, 0.041, 0.000, 0.080, 0.000, 0.102, 0.016, 0.123, 0.000, 0.253, 0.023, 0.348
0.000, 0.030, 0.000, 0.056, 0.000, 0.082, 0.008, 0.099, 0.028, 0.124, 0.065, 0.000, 0.508
0.010, 0.000, 0.037, 0.000, 0.065, 0.000, 0.087, 0.000, 0.126, 0.013, 0.000, 0.000, 0.661
